YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,WEATHER_ARR_DEG,DISTANCE_TYPE,IS_HOLYDAY,IS_VICATION,WEATHER_DEP_DESC,WEATHER_DEP_DESC_CODE,WEATHER_DEP_DEG,WEATHER_ARR_DESC,WEATHER_ARR_DESC_CODE,DELAY_TYPE
2015,1,1,4,AA,1652,TLV,MIA,815,806,-9,11,817,117,97,81,594,938,5,1012,943,-29,20.3,Short,FALSE,FALSE,Sunny,1000,21.2,Clear,1000,No Delay
2015,1,1,4,DL,1966,DFW,TLV,815,816,1,48,904,123,141,88,731,1132,5,1118,1137,19,21.2,Short,FALSE,FALSE,Light rain shower,1240,10.9,Sunny,1000,Delayed
2015,1,1,4,OO,6378,ORD,TLV,815,955,100,16,1011,121,109,85,606,1236,8,1116,1244,88,22.9,Short,FALSE,FALSE,Blizzard,1117,-10.2,Sunny,1000,Heavy Delay
2015,1,1,4,WN,450,TLV,FLL,820,826,6,13,839,110,104,87,581,1006,4,1010,1010,0,20.3,Short,FALSE,FALSE,Sunny,1000,21.2,Clear,1000,No Delay
2015,1,1,4,DL,2183,TLV,ORD,821,836,15,24,900,131,126,94,606,934,8,932,942,10,-9.9,Short,FALSE,FALSE,Sunny,1000,21.2,Blizzard,1117,No Delay
2015,1,1,4,DL,110,TLV,LAX,822,821,-1,16,837,308,314,261,1947,958,37,1030,1035,5,18.8,Median,FALSE,FALSE,Sunny,1000,21.2,Sunny,1000,No Delay
2015,1,1,4,DL,1477,ORD,TLV,825,827,2,18,845,123,103,79,606,1104,6,1128,1110,-18,21.2,Short,FALSE,FALSE,Blizzard,1117,-9.9,Sunny,1000,No Delay
2015,1,1,4,DL,1591,CLT,TLV,825,825,0,23,848,83,69,40,226,928,6,948,934,-14,21.2,Short,FALSE,FALSE,Cloudy,1006,2.9,Sunny,1000,No Delay
2015,1,1,4,DL,1153,TPA,TLV,830,824,-6,16,840,100,88,67,406,947,5,1010,952,-18,21.2,Short,FALSE,FALSE,Clear,1000,15.8,Sunny,1000,No Delay
2015,1,1,4,DL,1718,MCO,TLV,830,825,-5,9,834,100,74,59,404,933,6,1010,939,-31,21.2,Short,FALSE,FALSE,Clear,1000,17.1,Sunny,1000,No Delay
2015,1,1,4,DL,2025,TLV,BWI,831,827,-4,16,843,109,102,78,577,1001,8,1020,1009,-11,-3.9,Short,FALSE,FALSE,Sunny,1000,21.2,Cloudy,1006,No Delay
2015,1,1,4,DL,2310,TLV,DFW,832,830,-2,14,844,153,137,114,731,938,9,1005,947,-18,10.9,Short,FALSE,FALSE,Sunny,1000,21.2,Light rain shower,1240,No Delay
2015,1,1,4,DL,1995,TLV,TPA,840,901,21,13,914,85,80,64,406,1018,3,1005,1021,16,18,Short,FALSE,FALSE,Sunny,1000,22.9,Sunny,1000,Delayed
2015,1,1,4,DL,1494,TLV,PHL,840,836,-4,11,847,119,100,82,666,1009,7,1039,1016,-23,-6.2,Short,FALSE,FALSE,Sunny,1000,21.2,Partly cloudy,1003,No Delay
2015,1,1,4,WN,3852,TLV,LGA,845,840,-5,12,852,130,124,100,762,1032,12,1055,1044,-11,-8.9,Short,FALSE,FALSE,Sunny,1000,21.2,Partly cloudy,1003,No Delay
2015,1,1,4,DL,2326,FLL,TLV,845,840,-5,21,901,114,110,84,581,1025,5,1039,1030,-9,21.2,Short,FALSE,FALSE,Clear,1000,20.3,Sunny,1000,No Delay
2015,1,1,4,US,2065,TLV,CLT,850,846,-4,17,903,77,68,37,226,940,14,1007,954,-13,2.9,Short,FALSE,FALSE,Sunny,1000,21.2,Cloudy,1006,No Delay
2015,1,1,4,DL,775,MSY,TLV,850,845,-5,11,856,85,70,55,425,1051,4,1115,1055,-20,21.2,Short,FALSE,FALSE,Patchy rain possible,1063,16.7,Sunny,1000,No Delay
2015,1,1,4,AA,1455,TLV,DFW,855,851,-4,13,904,150,140,111,731,955,16,1025,1011,-14,10.9,Short,FALSE,FALSE,Sunny,1000,21.2,Light rain shower,1240,No Delay
2015,1,1,4,DL,2018,TLV,MCO,855,855,0,24,919,90,95,60,404,1019,11,1025,1030,5,17.1,Short,FALSE,FALSE,Sunny,1000,21.2,Clear,1000,No Delay
2015,1,1,4,DL,7,TLV,MIA,855,855,0,11,906,115,102,86,594,1032,5,1050,1037,-13,20.3,Short,FALSE,FALSE,Sunny,1000,21.2,Clear,1000,No Delay
2015,1,1,4,WN,428,FLL,TLV,900,856,-4,18,914,115,114,89,581,1043,7,1055,1050,-5,21.2,Short,FALSE,FALSE,Clear,1000,20.3,Sunny,1000,No Delay
2015,1,1,4,WN,1191,LAX,TLV,900,926,26,9,935,250,235,219,1947,1614,7,1610,1621,11,22.9,Median,FALSE,FALSE,Sunny,1000,21.4,Sunny,1000,No Delay
2015,1,1,4,DL,749,MIA,TLV,900,1137,157,19,1156,115,112,88,594,1324,5,1055,1329,154,24,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,Heavy Delay
2015,1,1,4,DL,805,PHL,TLV,900,854,-6,11,905,144,118,100,666,1045,7,1124,1052,-32,21.2,Short,FALSE,FALSE,Partly cloudy,1003,-6.2,Sunny,1000,No Delay
2015,1,1,4,DL,1094,DCA,TLV,900,854,-6,16,910,130,109,88,547,1038,5,1110,1043,-27,21.2,Short,FALSE,FALSE,Cloudy,1006,-3.1,Sunny,1000,No Delay
2015,1,1,4,DL,1825,BWI,TLV,900,855,-5,11,906,127,104,88,577,1034,5,1107,1039,-28,21.2,Short,FALSE,FALSE,Cloudy,1006,-3.9,Sunny,1000,No Delay
2015,1,1,4,WN,1754,MCO,TLV,905,900,-5,9,909,95,77,63,404,1012,5,1040,1017,-23,22.9,Short,FALSE,FALSE,Sunny,1000,18.9,Sunny,1000,No Delay
2015,1,1,4,DL,1589,TLV,FLL,910,907,-3,14,921,115,100,81,581,1042,5,1105,1047,-18,20.8,Short,FALSE,FALSE,Sunny,1000,22.9,Sunny,1000,No Delay
2015,1,1,4,DL,80,LAX,TLV,915,913,-2,20,933,255,236,210,1947,1603,6,1630,1609,-21,22.9,Median,FALSE,FALSE,Sunny,1000,21.4,Sunny,1000,No Delay
2015,1,1,4,DL,2438,TLV,DCA,920,924,4,11,935,100,95,80,547,1055,4,1100,1059,-1,-1.6,Short,FALSE,FALSE,Sunny,1000,22.9,Cloudy,1006,No Delay
2015,1,1,4,WN,1973,TLV,MSY,925,1034,69,11,1045,100,91,73,425,1058,7,1005,1105,60,18.8,Short,FALSE,FALSE,Sunny,1000,23.5,Patchy rain possible,1063,Delayed
2015,1,1,4,NK,762,TLV,ORD,926,926,0,15,941,119,117,97,606,1018,5,1025,1023,-2,-10.2,Short,FALSE,FALSE,Sunny,1000,22.9,Blizzard,1117,No Delay
2015,1,1,4,DL,1818,MCO,TLV,930,926,-4,11,937,92,77,62,404,1039,4,1102,1043,-19,22.9,Short,FALSE,FALSE,Sunny,1000,18.9,Sunny,1000,No Delay
2015,1,1,4,US,413,CLT,TLV,935,930,-5,19,949,75,73,42,226,1031,12,1050,1043,-7,22.9,Short,FALSE,FALSE,Cloudy,1006,4.1,Sunny,1000,No Delay
2015,1,1,4,DL,1472,TLV,TPA,935,936,1,35,1011,88,98,61,406,1112,2,1103,1114,11,18,Short,FALSE,FALSE,Sunny,1000,22.9,Sunny,1000,No Delay
2015,1,1,4,DL,1672,TLV,DFW,942,941,-1,13,954,157,137,114,731,1048,10,1119,1058,-21,11.1,Short,FALSE,FALSE,Sunny,1000,22.9,Light rain shower,1240,No Delay
2015,1,1,4,DL,798,TPA,TLV,945,941,-4,13,954,92,87,65,406,1059,9,1117,1108,-9,22.9,Short,FALSE,FALSE,Sunny,1000,18,Sunny,1000,No Delay
2015,1,1,4,DL,1063,TLV,LGA,945,945,0,15,1000,134,126,104,762,1144,7,1159,1151,-8,-7.1,Short,FALSE,FALSE,Sunny,1000,22.9,Partly cloudy,1003,No Delay
2015,1,1,4,WN,4986,TLV,TPA,950,947,-3,18,1005,90,87,65,406,1110,4,1120,1114,-6,18,Short,FALSE,FALSE,Sunny,1000,22.9,Sunny,1000,No Delay
2015,1,1,4,WN,555,TLV,FLL,950,1003,13,13,1016,120,101,84,581,1140,4,1150,1144,-6,21.2,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,DL,2125,TLV,BWI,950,945,-5,17,1002,113,100,76,577,1118,7,1143,1125,-18,-2.5,Short,FALSE,FALSE,Sunny,1000,22.9,Cloudy,1006,No Delay
2015,1,1,4,DL,1455,TLV,LAX,951,950,-1,29,1019,313,318,274,1947,1153,15,1204,1208,4,21.4,Median,FALSE,FALSE,Sunny,1000,22.9,Sunny,1000,No Delay
2015,1,1,4,DL,958,MSY,TLV,1000,954,-6,14,1008,82,74,55,425,1203,5,1222,1208,-14,22.9,Short,FALSE,FALSE,Patchy rain possible,1063,17.2,Sunny,1000,No Delay
2015,1,1,4,DL,1190,TLV,MIA,1000,1023,23,22,1045,122,110,84,594,1209,4,1202,1213,11,21.5,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,DL,2026,TLV,FLL,1000,1000,0,18,1018,120,108,85,581,1143,5,1200,1148,-12,21.2,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,DL,1847,LGA,TLV,1000,1000,0,13,1013,176,136,117,762,1210,6,1256,1216,-40,23.5,Short,FALSE,FALSE,Partly cloudy,1003,-6.2,Sunny,1000,No Delay
2015,1,1,4,MQ,2813,ORD,TLV,1000,1008,8,13,1021,113,109,92,606,1253,4,1253,1257,4,23.5,Short,FALSE,FALSE,Blizzard,1117,-10.7,Sunny,1000,No Delay
2015,1,1,4,WN,4966,MSY,TLV,1005,1004,-1,10,1014,85,72,58,425,1212,4,1230,1216,-14,23.5,Short,FALSE,FALSE,Patchy rain possible,1063,18.8,Sunny,1000,No Delay
2015,1,1,4,AA,1473,DFW,TLV,1005,1004,-1,36,1040,120,133,92,731,1312,5,1305,1317,12,23.5,Short,FALSE,FALSE,Light rain shower,1240,10.3,Sunny,1000,No Delay
2015,1,1,4,WN,1370,BWI,TLV,1015,1008,-7,7,1015,120,108,95,577,1150,6,1215,1156,-19,23.5,Short,FALSE,FALSE,Cloudy,1006,-1.8,Sunny,1000,No Delay
2015,1,1,4,DL,2183,ORD,TLV,1015,1035,20,14,1049,116,100,82,606,1311,4,1311,1315,4,23.5,Short,FALSE,FALSE,Blizzard,1117,-10.7,Sunny,1000,No Delay
2015,1,1,4,NK,877,TLV,FLL,1015,1029,14,8,1037,118,99,84,581,1201,7,1213,1208,-5,21.2,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,WN,808,TPA,TLV,1030,1028,-2,14,1042,85,87,68,406,1150,5,1155,1155,0,23.5,Short,FALSE,FALSE,Sunny,1000,19.2,Sunny,1000,No Delay
2015,1,1,4,DL,1095,TLV,CLT,1030,1026,-4,13,1039,75,55,38,226,1117,4,1145,1121,-24,5.9,Short,FALSE,FALSE,Sunny,1000,23.5,Cloudy,1006,No Delay
2015,1,1,4,WN,119,TLV,LGA,1035,1031,-4,11,1042,135,113,95,762,1217,7,1250,1224,-26,-6.2,Short,FALSE,FALSE,Sunny,1000,23.5,Partly cloudy,1003,No Delay
2015,1,1,4,US,1808,TLV,CLT,1040,1036,-4,13,1049,75,66,40,226,1129,13,1155,1142,-13,5.9,Short,FALSE,FALSE,Sunny,1000,23.5,Cloudy,1006,No Delay
2015,1,1,4,WN,3739,MCO,TLV,1040,1039,-1,13,1052,90,82,64,404,1156,5,1210,1201,-9,23.5,Short,FALSE,FALSE,Sunny,1000,19.8,Sunny,1000,No Delay
2015,1,1,4,DL,823,CLT,TLV,1040,1037,-3,15,1052,73,59,39,226,1131,5,1153,1136,-17,23.5,Short,FALSE,FALSE,Cloudy,1006,5.9,Sunny,1000,No Delay
2015,1,1,4,WN,473,FLL,TLV,1045,1046,1,19,1105,115,118,89,581,1234,10,1240,1244,4,23.5,Short,FALSE,FALSE,Sunny,1000,21.2,Sunny,1000,No Delay
2015,1,1,4,AA,1513,TLV,DFW,1045,1043,-2,13,1056,150,145,115,731,1151,17,1215,1208,-7,10.3,Short,FALSE,FALSE,Sunny,1000,23.5,Light rain shower,1240,No Delay
2015,1,1,4,DL,1286,TLV,LGA,1045,1058,13,12,1110,131,118,97,762,1247,9,1256,1256,0,-6.2,Short,FALSE,FALSE,Sunny,1000,23.5,Partly cloudy,1003,No Delay
2015,1,1,4,DL,2226,FLL,TLV,1045,1040,-5,16,1056,115,102,82,581,1218,4,1240,1222,-18,23.5,Short,FALSE,FALSE,Sunny,1000,21.2,Sunny,1000,No Delay
2015,1,1,4,DL,2310,DFW,TLV,1045,1044,-1,39,1123,121,141,91,731,1354,11,1346,1405,19,23.5,Short,FALSE,FALSE,Light rain shower,1240,10.3,Sunny,1000,Delayed
2015,1,1,4,DL,1555,TLV,LAX,1052,1052,0,28,1120,308,311,274,1947,1254,9,1300,1303,3,23.7,Median,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,DL,812,TLV,ORD,1055,1054,-1,17,1111,130,117,94,606,1145,6,1205,1151,-14,-10.7,Short,FALSE,FALSE,Sunny,1000,23.5,Blizzard,1117,No Delay
2015,1,1,4,DL,1239,TLV,DFW,1055,1051,-4,21,1112,154,144,114,731,1206,9,1229,1215,-14,10.3,Short,FALSE,FALSE,Sunny,1000,23.5,Light rain shower,1240,No Delay
2015,1,1,4,WN,732,PHL,TLV,1100,1058,-2,14,1112,130,131,110,666,1302,7,1310,1309,-1,23.5,Short,FALSE,FALSE,Partly cloudy,1003,-2.9,Sunny,1000,No Delay
2015,1,1,4,DL,839,DCA,TLV,1100,1059,-1,12,1111,122,103,86,547,1237,5,1302,1242,-20,23.5,Short,FALSE,FALSE,Cloudy,1006,-0.2,Sunny,1000,No Delay
2015,1,1,4,DL,2025,BWI,TLV,1100,1057,-3,9,1106,118,109,95,577,1241,5,1258,1246,-12,23.5,Short,FALSE,FALSE,Cloudy,1006,-1.8,Sunny,1000,No Delay
2015,1,1,4,DL,2127,TLV,FLL,1100,1057,-3,16,1113,115,103,81,581,1234,6,1255,1240,-15,21.2,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,DL,150,TLV,DCA,1100,1058,-2,10,1108,104,88,73,547,1221,5,1244,1226,-18,-0.2,Short,FALSE,FALSE,Sunny,1000,23.5,Cloudy,1006,No Delay
2015,1,1,4,DL,1947,LGA,TLV,1100,1112,12,11,1123,164,130,115,762,1318,4,1344,1322,-22,24,Short,FALSE,FALSE,Partly cloudy,1003,-5.4,Sunny,1000,No Delay
2015,1,1,4,F9,1069,TLV,ORD,1105,1212,67,16,1228,120,124,98,606,1306,10,1205,1316,71,-11.8,Short,FALSE,FALSE,Sunny,1000,24.6,Blizzard,1117,Heavy Delay
2015,1,1,4,NK,219,ORD,TLV,1105,1103,-2,10,1113,110,103,87,606,1340,6,1355,1346,-9,24,Short,FALSE,FALSE,Blizzard,1117,-11.3,Sunny,1000,No Delay
2015,1,1,4,DL,1462,TLV,MSY,1106,1101,-5,28,1129,102,105,71,425,1140,6,1148,1146,-2,20.3,Short,FALSE,FALSE,Sunny,1000,24,Sunny,1000,No Delay
2015,1,1,4,DL,2173,TLV,MIA,1107,1107,0,11,1118,121,105,83,594,1241,11,1308,1252,-16,23.5,Short,FALSE,FALSE,Sunny,1000,24,Sunny,1000,No Delay
2015,1,1,4,WN,1754,TLV,DCA,1110,1107,-3,19,1126,105,103,80,547,1246,4,1255,1250,-5,1.1,Short,FALSE,FALSE,Sunny,1000,24,Partly cloudy,1003,No Delay
2015,1,1,4,DL,1495,TLV,BWI,1110,1107,-3,12,1119,110,95,76,577,1235,7,1300,1242,-18,-1,Short,FALSE,FALSE,Sunny,1000,24,Cloudy,1006,No Delay
2015,1,1,4,WN,621,TLV,BWI,1115,1116,1,15,1131,110,94,76,577,1247,3,1305,1250,-15,-1,Short,FALSE,FALSE,Sunny,1000,24,Cloudy,1006,No Delay
2015,1,1,4,DL,1561,TLV,PHL,1116,1110,-6,19,1129,123,118,95,666,1304,4,1319,1308,-11,-1.6,Short,FALSE,FALSE,Sunny,1000,24,Overcast,1009,No Delay
2015,1,1,4,NK,144,TLV,DFW,1124,,,,,148,,,731,,,1252,,,9.9,Short,FALSE,FALSE,Clear,1000,12.4,Overcast,1009,Heavy Delay
2015,1,1,4,DL,2018,MCO,TLV,1125,1126,1,12,1138,94,81,62,404,1240,7,1259,1247,-12,24,Short,FALSE,FALSE,Partly cloudy,1003,20.8,Sunny,1000,No Delay
2015,1,1,4,WN,2448,LGA,TLV,1130,1129,-1,16,1145,170,150,127,762,1352,7,1420,1359,-21,24,Short,FALSE,FALSE,Partly cloudy,1003,-5.4,Sunny,1000,No Delay
2015,1,1,4,DL,566,MIA,TLV,1130,1127,-3,20,1147,121,111,88,594,1315,3,1331,1318,-13,24,Short,FALSE,FALSE,Sunny,1000,23.5,Sunny,1000,No Delay
2015,1,1,4,DL,101,LAX,TLV,1130,1154,24,22,1216,250,242,217,1947,1853,3,1840,1856,16,24,Median,FALSE,FALSE,Partly cloudy,1003,23.8,Sunny,1000,Delayed
2015,1,1,4,DL,1494,PHL,TLV,1130,1124,-6,11,1135,137,118,102,666,1317,5,1347,1322,-25,24,Short,FALSE,FALSE,Overcast,1009,-1.6,Sunny,1000,No Delay
2015,1,1,4,DL,1693,ORD,TLV,1130,1134,4,19,1153,119,109,83,606,1416,7,1429,1423,-6,24,Short,FALSE,FALSE,Blizzard,1117,-11.3,Sunny,1000,No Delay
2015,1,1,4,DL,2091,TLV,TPA,1139,1140,1,10,1150,86,75,61,406,1251,4,1305,1255,-10,20.4,Short,FALSE,FALSE,Sunny,1000,24,Sunny,1000,No Delay
2015,1,1,4,US,2071,CLT,TLV,1140,1253,73,22,1315,79,74,44,226,1359,8,1259,1407,68,24.6,Short,FALSE,FALSE,Cloudy,1006,9.4,Sunny,1000,Heavy Delay
2015,1,1,4,DL,1472,TPA,TLV,1145,1204,19,15,1219,92,86,66,406,1325,5,1317,1330,13,24.6,Short,FALSE,FALSE,Sunny,1000,21.6,Sunny,1000,No Delay
2015,1,1,4,DL,1589,FLL,TLV,1145,1139,-6,22,1201,122,113,86,581,1327,5,1347,1332,-15,24,Short,FALSE,FALSE,Sunny,1000,21.6,Sunny,1000,No Delay
2015,1,1,4,DL,1782,TLV,LGA,1145,1145,0,11,1156,133,129,96,762,1332,22,1358,1354,-4,-5.4,Short,FALSE,FALSE,Sunny,1000,24,Partly cloudy,1003,No Delay
2015,1,1,4,AA,194,DFW,TLV,1150,,,,,115,,,731,,,1445,,,12.4,Short,undefined,FALSE,Overcast,1009,9.9,Clear,1000,Heavy Delay
2015,1,1,4,WN,743,MCO,TLV,1155,1149,-6,11,1200,100,82,65,404,1305,6,1335,1311,-24,24,Short,FALSE,FALSE,Partly cloudy,1003,20.8,Sunny,1000,No Delay
2015,1,1,4,AA,314,TLV,DFW,1155,1210,15,16,1226,150,149,117,731,1323,16,1325,1339,14,8.8,Short,FALSE,FALSE,Sunny,1000,24.6,Patchy rain possible,1063,No Delay
